id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,queue pressure,39,13,7,101,258,ship,baseline,monotonic-signal,raise-signal
m002,g002,retry load,81,39,29,69,194,ship,edge,drag-penalty,drop-slack
m003,g003,worker slack,66,36,28,74,176,ship,recovery,confidence-floor,raise-drag
m004,g004,session drift,106,67,18,52,293,ship,negative,lane-boundary,lower-confidence
m005,g005,queue pressure,50,15,18,22,69,hold,baseline,monotonic-signal,raise-signal
m006,g006,retry load,100,15,20,48,211,ship,edge,drag-penalty,drop-slack
m007,g007,worker slack,89,69,50,65,127,watch,recovery,confidence-floor,raise-drag
m008,g008,session drift,43,23,35,65,64,hold,negative,lane-boundary,lower-confidence
m009,g009,queue pressure,77,73,12,89,345,ship,baseline,monotonic-signal,raise-signal
m010,g010,retry load,84,19,44,99,165,watch,edge,drag-penalty,drop-slack
m011,g011,worker slack,95,46,47,66,133,watch,recovery,confidence-floor,raise-drag
m012,g012,session drift,104,22,19,41,217,ship,negative,lane-boundary,lower-confidence
m013,g013,queue pressure,121,47,28,95,339,ship,baseline,monotonic-signal,raise-signal
m014,g014,retry load,76,16,37,34,51,hold,edge,drag-penalty,drop-slack
m015,g015,worker slack,61,20,29,94,185,ship,recovery,confidence-floor,raise-drag
m016,g016,session drift,101,54,16,73,322,ship,negative,lane-boundary,lower-confidence
m017,g017,queue pressure,90,38,35,43,129,watch,baseline,monotonic-signal,raise-signal
m018,g018,retry load,30,22,4,69,200,ship,edge,drag-penalty,drop-slack
m019,g019,worker slack,96,68,18,87,344,ship,recovery,confidence-floor,raise-drag
m020,g020,session drift,45,53,37,87,132,watch,negative,lane-boundary,lower-confidence
m021,g021,queue pressure,76,48,10,68,286,ship,baseline,monotonic-signal,raise-signal
m022,g022,retry load,81,2,40,73,110,watch,edge,drag-penalty,drop-slack
m023,g023,worker slack,48,33,42,64,47,hold,recovery,confidence-floor,raise-drag
m024,g024,session drift,79,45,34,8,49,hold,negative,lane-boundary,lower-confidence
m025,g025,queue pressure,63,32,14,47,182,ship,baseline,monotonic-signal,raise-signal
m026,g026,retry load,89,4,6,64,280,ship,edge,drag-penalty,drop-slack
m027,g027,worker slack,110,44,52,77,158,watch,recovery,confidence-floor,raise-drag
m028,g028,session drift,36,26,45,75,23,hold,negative,lane-boundary,lower-confidence
m029,g029,queue pressure,99,19,5,98,388,ship,baseline,monotonic-signal,raise-signal
m030,g030,retry load,33,7,28,65,63,hold,edge,drag-penalty,drop-slack
m031,g031,worker slack,96,55,27,53,218,ship,recovery,confidence-floor,raise-drag
m032,g032,session drift,71,41,39,81,150,watch,negative,lane-boundary,lower-confidence
m033,g033,queue pressure,43,72,29,33,79,hold,baseline,monotonic-signal,raise-signal
m034,g034,retry load,107,9,25,93,284,ship,edge,drag-penalty,drop-slack
m035,g035,worker slack,59,31,11,85,264,ship,recovery,confidence-floor,raise-drag
m036,g036,session drift,82,74,13,29,231,ship,negative,lane-boundary,lower-confidence
