id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,queue pressure,30,13,7,101,240,ship,baseline,monotonic-signal
g002,retry load,81,50,29,69,205,ship,edge,drag-penalty
g003,worker slack,66,36,21,74,211,ship,recovery,confidence-floor
g004,session drift,106,67,18,65,319,ship,negative,lane-boundary
g005,queue pressure,41,15,18,22,51,hold,baseline,monotonic-signal
g006,retry load,100,26,20,48,222,ship,edge,drag-penalty
g007,worker slack,89,69,43,65,162,watch,recovery,confidence-floor
g008,session drift,43,23,35,78,90,hold,negative,lane-boundary
g009,queue pressure,68,73,12,89,327,ship,baseline,monotonic-signal
g010,retry load,84,30,44,99,176,ship,edge,drag-penalty
g011,worker slack,95,46,40,66,168,ship,recovery,confidence-floor
g012,session drift,104,22,19,54,243,ship,negative,lane-boundary
g013,queue pressure,112,47,28,95,321,ship,baseline,monotonic-signal
g014,retry load,76,27,37,34,62,hold,edge,drag-penalty
g015,worker slack,61,20,22,94,220,ship,recovery,confidence-floor
g016,session drift,101,54,16,86,348,ship,negative,lane-boundary
g017,queue pressure,81,38,35,43,111,watch,baseline,monotonic-signal
g018,retry load,30,33,4,69,211,ship,edge,drag-penalty
g019,worker slack,96,68,11,87,379,ship,recovery,confidence-floor
g020,session drift,45,53,37,100,158,watch,negative,lane-boundary
g021,queue pressure,67,48,10,68,268,ship,baseline,monotonic-signal
g022,retry load,81,13,40,73,121,watch,edge,drag-penalty
g023,worker slack,48,33,35,64,82,hold,recovery,confidence-floor
g024,session drift,79,45,34,21,75,hold,negative,lane-boundary
g025,queue pressure,54,32,14,47,164,watch,baseline,monotonic-signal
g026,retry load,89,15,6,64,291,ship,edge,drag-penalty
g027,worker slack,110,44,45,77,193,ship,recovery,confidence-floor
g028,session drift,36,26,45,88,49,hold,negative,lane-boundary
g029,queue pressure,90,19,5,98,370,ship,baseline,monotonic-signal
g030,retry load,33,18,28,65,74,hold,edge,drag-penalty
g031,worker slack,96,55,20,53,253,ship,recovery,confidence-floor
g032,session drift,71,41,39,94,176,ship,negative,lane-boundary
g033,queue pressure,34,72,29,33,61,hold,baseline,monotonic-signal
g034,retry load,107,20,25,93,295,ship,edge,drag-penalty
g035,worker slack,59,31,4,85,299,ship,recovery,confidence-floor
g036,session drift,82,74,13,42,257,ship,negative,lane-boundary
g037,queue pressure,53,28,22,68,160,watch,baseline,monotonic-signal
g038,retry load,42,8,7,86,229,ship,edge,drag-penalty
g039,worker slack,84,35,43,99,186,ship,recovery,confidence-floor
g040,session drift,109,51,20,67,303,ship,negative,lane-boundary
g041,queue pressure,37,27,31,72,90,hold,baseline,monotonic-signal
g042,retry load,48,52,38,63,84,hold,edge,drag-penalty
g043,worker slack,57,32,22,20,76,hold,recovery,confidence-floor
g044,session drift,65,25,37,46,62,hold,negative,lane-boundary
g045,queue pressure,117,59,25,63,294,ship,baseline,monotonic-signal
g046,retry load,102,43,20,76,299,ship,edge,drag-penalty
g047,worker slack,54,38,19,87,225,ship,recovery,confidence-floor
g048,session drift,34,73,41,97,130,watch,negative,lane-boundary
g049,queue pressure,71,58,33,64,163,watch,baseline,monotonic-signal
g050,retry load,49,53,30,52,105,hold,edge,drag-penalty
g051,worker slack,86,18,30,93,226,ship,recovery,confidence-floor
g052,session drift,108,38,32,32,158,watch,negative,lane-boundary
g053,queue pressure,34,50,13,92,237,ship,baseline,monotonic-signal
g054,retry load,89,37,5,84,358,ship,edge,drag-penalty
g055,worker slack,32,20,24,41,46,hold,recovery,confidence-floor
g056,session drift,95,49,14,67,303,ship,negative,lane-boundary
g057,queue pressure,42,31,10,85,235,ship,baseline,monotonic-signal
g058,retry load,63,24,31,98,191,ship,edge,drag-penalty
g059,worker slack,77,23,40,66,109,watch,recovery,confidence-floor
g060,session drift,43,60,7,71,253,ship,negative,lane-boundary
g061,queue pressure,74,46,34,62,148,watch,baseline,monotonic-signal
g062,retry load,49,77,28,105,245,ship,edge,drag-penalty
g063,worker slack,112,25,5,45,314,ship,recovery,confidence-floor
g064,session drift,75,36,16,62,230,ship,negative,lane-boundary
g065,queue pressure,60,9,23,75,164,watch,baseline,monotonic-signal
g066,retry load,100,33,7,86,370,ship,edge,drag-penalty
g067,worker slack,35,13,22,96,165,watch,recovery,confidence-floor
g068,session drift,94,40,10,63,304,ship,negative,lane-boundary
g069,queue pressure,83,56,5,51,299,ship,baseline,monotonic-signal
g070,retry load,37,32,4,92,270,ship,edge,drag-penalty
g071,worker slack,62,57,26,31,113,watch,recovery,confidence-floor
g072,session drift,78,37,18,91,285,ship,negative,lane-boundary
g073,queue pressure,89,30,15,83,299,ship,baseline,monotonic-signal
g074,retry load,98,64,15,40,265,ship,edge,drag-penalty
g075,worker slack,106,48,17,66,307,ship,recovery,confidence-floor
g076,session drift,70,43,40,84,151,watch,negative,lane-boundary
g077,queue pressure,55,8,32,97,152,watch,baseline,monotonic-signal
g078,retry load,95,63,9,65,338,ship,edge,drag-penalty
g079,worker slack,75,58,41,70,143,watch,recovery,confidence-floor
g080,session drift,112,23,37,61,184,ship,negative,lane-boundary
g081,queue pressure,90,43,16,104,351,ship,baseline,monotonic-signal
g082,retry load,39,55,25,44,96,hold,edge,drag-penalty
g083,worker slack,61,42,34,61,116,watch,recovery,confidence-floor
g084,session drift,75,25,19,74,228,ship,negative,lane-boundary
g085,queue pressure,42,54,13,85,243,ship,baseline,monotonic-signal
g086,retry load,73,36,32,95,212,ship,edge,drag-penalty
g087,worker slack,48,29,43,62,34,hold,recovery,confidence-floor
g088,session drift,83,28,8,50,254,ship,negative,lane-boundary
g089,queue pressure,104,65,34,91,285,ship,baseline,monotonic-signal
g090,retry load,30,51,7,30,136,watch,edge,drag-penalty
g091,worker slack,84,12,37,90,175,ship,recovery,confidence-floor
g092,session drift,115,30,32,82,264,ship,negative,lane-boundary
g093,queue pressure,90,41,31,39,144,watch,baseline,monotonic-signal
g094,retry load,65,14,11,65,219,ship,edge,drag-penalty
g095,worker slack,116,38,45,83,211,ship,recovery,confidence-floor
g096,session drift,101,18,42,96,202,ship,negative,lane-boundary
